species,matric_pot,hyphal_rate,type
a.gal1.s,0,0.001584758,smoothed
a.gal1.s,-0.01,0.001888309,smoothed
a.gal1.s,-0.02,0.002242678,smoothed
a.gal1.s,-0.03,0.002654902,smoothed
a.gal1.s,-0.04,0.003132721,smoothed
a.gal1.s,-0.05,0.003684605,smoothed
a.gal1.s,-0.06,0.004319764,smoothed
a.gal1.s,-0.07,0.005048165,smoothed
a.gal1.s,-0.08,0.005880526,smoothed
a.gal1.s,-0.09,0.0068283,smoothed
a.gal1.s,-0.1,0.007903651,smoothed
a.gal1.s,-0.11,0.009119412,smoothed
a.gal1.s,-0.12,0.010489028,smoothed
a.gal1.s,-0.13,0.012026479,smoothed
a.gal1.s,-0.14,0.013746192,smoothed
a.gal1.s,-0.15,0.015662932,smoothed
a.gal1.s,-0.16,0.017791671,smoothed
a.gal1.s,-0.17,0.020147445,smoothed
a.gal1.s,-0.18,0.022745192,smoothed
a.gal1.s,-0.19,0.025599574,smoothed
a.gal1.s,-0.2,0.028724782,smoothed
a.gal1.s,-0.21,0.032134337,smoothed
a.gal1.s,-0.22,0.03584087,smoothed
a.gal1.s,-0.23,0.039855908,smoothed
a.gal1.s,-0.24,0.044189647,smoothed
a.gal1.s,-0.25,0.048850733,smoothed
a.gal1.s,-0.26,0.053846043,smoothed
a.gal1.s,-0.27,0.059180482,smoothed
a.gal1.s,-0.28,0.064856786,smoothed
a.gal1.s,-0.29,0.070875354,smoothed
a.gal1.s,-0.3,0.077234089,smoothed
a.gal1.s,-0.31,0.083928285,smoothed
a.gal1.s,-0.32,0.090950527,smoothed
a.gal1.s,-0.33,0.098290636,smoothed
a.gal1.s,-0.34,0.105935648,smoothed
a.gal1.s,-0.35,0.113869837,smoothed
a.gal1.s,-0.36,0.12207477,smoothed
a.gal1.s,-0.37,0.130529412,smoothed
a.gal1.s,-0.38,0.139210267,smoothed
a.gal1.s,-0.39,0.148091561,smoothed
a.gal1.s,-0.4,0.157145464,smoothed
a.gal1.s,-0.41,0.166342339,smoothed
a.gal1.s,-0.42,0.175651038,smoothed
a.gal1.s,-0.43,0.185039201,smoothed
a.gal1.s,-0.44,0.194473602,smoothed
a.gal1.s,-0.45,0.203920487,smoothed
a.gal1.s,-0.46,0.213345939,smoothed
a.gal1.s,-0.47,0.222716233,smoothed
a.gal1.s,-0.48,0.231998198,smoothed
a.gal1.s,-0.49,0.241159562,smoothed
a.gal1.s,-0.5,0.250169284,smoothed
a.gal1.s,-0.51,0.258997862,smoothed
a.gal1.s,-0.52,0.267617622,smoothed
a.gal1.s,-0.53,0.276002965,smoothed
a.gal1.s,-0.54,0.284130585,smoothed
a.gal1.s,-0.55,0.291979651,smoothed
a.gal1.s,-0.56,0.299531944,smoothed
a.gal1.s,-0.57,0.306771957,smoothed
